anchor,winner,loser
revolver,star fruit,cannon
stiletto,handbrake,gumball
bassoon,kale,eyedropper
tree trunk,face mask,tee
moth,toucan,footrest
kilt,whale,overalls
teddy bear,golf cart,bat
dough,scallop,oar
peg,ice-cream cone,crown
fire pit,okra,dumbbell
modem,gearshift,spider web
remote control,cardinal,refrigerator
leash,fire,iceskate
barcode,clothespin,fire
cookie,blouse,cordon bleu
pudding,pet food,knee
parking meter,cleat,polar bear
leaf,shell,cornmeal
backgammon,cardinal,spoon
napkin,aloe,ticktacktoe
shopping basket,bin,guitar
oven,skull,lantern
slipper,bumper,cockroach
petri dish,headlamp,cilantro
boat,snowshoe,tuba
tab,swan,roof rack
kazoo,telescope,chipmunk
kneepad,meerkat,lab coat
clasp,grille,warthog
yacht,quiche,trailer
honeypot,grate,green beans
harmonica,strainer,vulture
icicle,bus,pump
steering wheel,grate,tape measure
pinecone,marijuana,airplane
awning,sewing machine,polar bear
landmine,blazer,reel
porthole,pony,boat
turtleneck,jeans,crystal
fence,cuckoo clock,drink
jelly bean,tortellini,sailboat
grinder,ladle,foot
teapot,spider,egg
refrigerator,treadmill,moth
beanbag,phone,caterpillar
helmet,baklava,bowler hat
polygraph,ankle,drill
speedometer,vulture,luggage
celery,apple,wheelchair
ball,pom-pom,pajamas
radish,tuba,vegetable
marijuana,doll,crumb
tugboat,ambulance,chili
mantle,ladybug,key
saxophone,buckle,pea
squirt gun,wood,raft
grapevine,scallion,bowling ball
macaroni,salad,vulture
dress,crate,coverall
walnut,fig,notebook
coffee table,cardinal,doorhandle
siren,mongoose,telescope
go-kart,cruise ship,melon
papaya,metal detector,donut
gift,cleat,finger
block,gopher,step stool
golf club,papaya,keyhole
fuse,dolphin,sombrero
rose,police car,seaweed
airplane,yolk,arch
bow,necklace,revolver
wreath,clipper,space shuttle
tortellini,boar,appetizer
caterpillar,spacesuit,pig
projector,antenna,mosquito
pecan,brussels sprouts,airplane
bottle opener,dog,bolt
beard,face,bathmat
space shuttle,cracker,wing
tag,collar,sidecar
apple,fig,doily
whipped cream,nut,tuba
staple gun,vulture,pen
polaroid,guardrail,artichoke
eel,shell,peacock
gear,artichoke,guillotine
stump,space shuttle,doghouse
ice cube,tennis ball,maple syrup
bulletproof vest,ivy,kneepad
rocking chair,rhinoceros,brake
highchair,crumb,crab
dustpan,meerkat,altar
earwig,trolley,rhinoceros
drawer,crow,chess piece
cigarette,incubator,beaver
fire,fireplace,shorts
moccasin,paper plate,bracelet
cobra,puffin,refrigerator
hoodie,pantsuit,sword
